LRLLRRRLRRLRRRLRLRRLLRRLRRLRRLRRRLLRRLRRLLLRRLLRRRLRRRLRRRLRLRRRLRRRLRLRLRRLRLRRRLRLRLRRRLLRRRLRLRRLLLRRRLLRRLLLRRRLRRLLRLRLRRRLRRLLRRLRRRLRRRLLRRRLLRRRLRRLRRLRLRRRLLLRRRLRRRLRLRRLRRLRRLRRLRRLRRRLRRRLRRLLRRLRRRLRLLRLLRRLLRRLRRRLRRRLRRRLRRRLRRLRRRLLRRLRRRLRRLRRRLRRLRRLRRLRRLRRLRLRRRR

QRX = (XNN, TCJ)
GSM = (PNH, BVG)
VDX = (VSG, ZZZ)
TGV = (SHD, FVB)
PPH = (MLX, CBT)
GRP = (FGH, VLK)
NCT = (TRH, GJX)
TLD = (QHH, RXL)
XMB = (XXT, XSF)
HQP = (GMB, JGX)
NTH = (BRV, GKL)
RHM = (HJH, BGS)
DPC = (VRX, XTK)
SBD = (GBD, CCG)
NBB = (CGT, DHB)
GXR = (PPM, PSD)
FNR = (KNV, STN)
FRM = (SBD, LPJ)
JMB = (SPN, VPX)
RMJ = (CBT, MLX)
XXD = (HPP, TML)
LJQ = (LTQ, HKH)
LJP = (SSL, SSL)
CFM = (TMR, SJX)
MLX = (TLV, BTH)
LLJ = (SPB, JPL)
VRX = (VLJ, MFX)
XHM = (GSJ, SMV)
CDQ = (MSF, BKM)
LJT = (VMB, XND)
DNF = (QVQ, TTG)
BLB = (VGV, FJC)
FXK = (HBS, DTS)
VDT = (PGC, GSB)
GFS = (QXK, GFC)
LGT = (LVX, LKD)
XRJ = (RXB, XXR)
GRT = (RFK, TMX)
HLK = (QBQ, HPH)
SCK = (LBL, XXD)
LMR = (TLD, RJD)
BRP = (XNX, MXV)
CVV = (NRD, JRP)
VPH = (BRV, GKL)
XSD = (NQC, QNV)
BPT = (QPQ, PJJ)
SQG = (GPB, RQG)
SXL = (VTV, HXR)
FMG = (DVX, DGL)
JQF = (LTJ, LTJ)
HHC = (BPC, VBM)
TFJ = (DLL, KRC)
QTM = (XDK, HXS)
HBV = (GHX, CSL)
HXS = (PJS, JNQ)
TTG = (JGQ, NHL)
FQN = (LDJ, KSP)
NND = (CFK, TCL)
DGP = (NGP, XMP)
FSN = (QKR, HFM)
FDG = (SRF, PBL)
PFN = (LRX, CLT)
VSX = (TCV, SPP)
GRB = (CVR, SJM)
JXP = (JRJ, SCX)
DTF = (BGR, DRD)
JPL = (DFQ, LVC)
HKJ = (RKH, BKZ)
TRQ = (PMT, PMT)
KTG = (TVL, HRP)
LFM = (PSG, FXX)
FHK = (FHT, NVG)
FTD = (QFB, GHT)
SKX = (NGD, LDC)
XTB = (GMB, JGX)
CQK = (TVL, HRP)
NRD = (GDF, SCN)
GBD = (SFQ, VLX)
